2 Jan 2026 17:42:41.238,0.000,2.199950,-163.675,-135.370412,7.993287,113.917876,66.667,65.6788,63.9179,1.000000e-30
2 Jan 2026 17:43:15.036,0.000,2.199949,-164.813,-136.508740,7.993284,112.779544,66.667,64.5405,62.7795,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
2 Jan 2026 19:10:26.995,0.000,2.200027,-164.713,-136.409327,7.993588,112.879262,66.667,64.6402,62.8793,1.000000e-30
2 Jan 2026 19:10:31.046,0.000,2.200026,-164.645,-136.341096,7.993586,112.947490,66.667,64.7084,62.9475,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
2 Jan 2026 19:14:20.419,0.000,2.199976,-164.418,-136.114242,7.993388,113.174147,66.667,64.9351,63.1741,1.000000e-30
2 Jan 2026 19:14:57.716,0.000,2.199970,-165.050,-136.745889,7.993365,112.542477,66.667,64.3034,62.5425,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
3 Jan 2026 04:17:10.364,0.000,2.200028,-160.407,-132.103278,7.993595,117.185318,66.667,68.9462,67.1853,1.000000e-30
3 Jan 2026 04:17:40.505,0.000,2.200020,-159.613,-131.308410,7.993559,117.980149,66.667,69.7411,67.9801,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
3 Jan 2026 04:18:37.927,0.000,2.199997,-159.022,-130.718021,7.993470,118.570450,66.667,70.3314,68.5704,1.000000e-30
3 Jan 2026 04:19:22.949,0.000,2.199980,-159.647,-131.342633,7.993403,117.945771,66.667,69.7067,67.9458,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
3 Jan 2026 04:21:47.719,0.000,2.199955,-164.135,-135.831145,7.993306,113.457162,66.667,65.2181,63.4572,1.000000e-30
3 Jan 2026 04:22:04.009,0.000,2.199954,-164.623,-136.319115,7.993303,112.969188,66.667,64.7301,62.9692,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
3 Jan 2026 05:48:42.671,0.000,2.200042,-165.317,-137.012752,7.993650,112.275899,66.667,64.0368,62.2759,1.000000e-30
3 Jan 2026 05:48:43.531,0.000,2.200042,-165.296,-136.991376,7.993650,112.297275,66.667,64.0582,62.2973,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
3 Jan 2026 05:50:18.258,0.000,2.200031,-162.890,-134.585370,7.993606,114.703237,66.667,66.4641,64.7032,1.000000e-30
3 Jan 2026 05:50:46.218,0.000,2.200026,-162.236,-133.931415,7.993585,115.357171,66.667,67.1181,65.3572,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
3 Jan 2026 05:50:51.417,0.000,2.200025,-162.123,-133.818810,7.993581,115.469772,66.667,67.2307,65.4698,1.000000e-30
3 Jan 2026 05:50:53.717,0.000,2.200024,-162.074,-133.770149,7.993579,115.518431,66.667,67.2793,65.5184,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
3 Jan 2026 05:54:20.664,0.000,2.199969,-162.847,-134.542793,7.993360,114.745567,66.667,66.5065,64.7456,1.000000e-30
3 Jan 2026 05:54:31.035,0.000,2.199967,-163.103,-134.798444,7.993353,114.489910,66.667,66.2508,64.4899,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
3 Jan 2026 17:16:20.483,0.000,2.200048,-165.317,-137.012813,7.993672,112.275860,66.667,64.0368,62.2759,1.000000e-30
3 Jan 2026 17:16:27.461,0.000,2.200047,-165.119,-136.814398,7.993671,112.474274,66.667,64.2352,62.4743,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
3 Jan 2026 17:17:06.007,0.000,2.200046,-163.958,-135.654053,7.993664,113.634612,66.667,65.3955,63.6346,1.000000e-30
3 Jan 2026 17:17:26.303,0.000,2.200044,-163.303,-134.999009,7.993659,114.289651,66.667,66.0506,64.2897,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
3 Jan 2026 17:18:45.274,0.000,2.200034,-160.551,-132.247266,7.993618,117.041353,66.667,68.8023,67.0414,1.000000e-30
3 Jan 2026 17:19:27.977,0.000,2.200023,-159.176,-130.871893,7.993573,118.416681,66.667,70.1776,68.4167,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
3 Jan 2026 17:20:46.966,0.000,2.199991,-158.419,-130.115093,7.993445,119.173354,66.667,70.9343,69.1734,1.000000e-30
3 Jan 2026 17:21:20.492,0.000,2.199978,-159.090,-130.785773,7.993395,118.502622,66.667,70.2635,68.5026,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
3 Jan 2026 17:23:49.399,0.000,2.199954,-164.084,-135.779798,7.993303,113.508505,66.667,65.2694,63.5085,1.000000e-30
3 Jan 2026 17:23:54.489,0.000,2.199954,-164.242,-135.938215,7.993302,113.350087,66.667,65.1110,63.3501,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
3 Jan 2026 17:23:57.494,0.000,2.199954,-164.335,-136.030832,7.993301,113.257470,66.667,65.0184,63.2575,1.000000e-30
3 Jan 2026 17:24:02.870,0.000,2.199953,-164.499,-136.194880,7.993300,113.093421,66.667,64.8543,63.0934,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
3 Jan 2026 18:51:05.289,0.000,2.200038,-164.526,-136.222282,7.993634,113.066353,66.667,64.8273,63.0664,1.000000e-30
3 Jan 2026 18:52:05.000,0.000,2.200030,-163.075,-134.770622,7.993601,114.517980,66.667,66.2789,64.5180,1.000000e-30
3 Jan 2026 18:52:18.313,0.000,2.200028,-162.776,-134.471866,7.993591,114.816725,66.667,66.5776,64.8167,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
3 Jan 2026 18:55:59.506,0.000,2.199970,-163.128,-134.823986,7.993362,114.464377,66.667,66.2253,64.4644,1.000000e-30
3 Jan 2026 18:56:25.547,0.000,2.199965,-163.750,-135.445861,7.993346,113.842486,66.667,65.6034,63.8425,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
4 Jan 2026 03:57:57.990,0.000,2.200030,-163.168,-134.864320,7.993602,114.424283,66.667,66.1852,64.4243,1.000000e-30
4 Jan 2026 03:58:40.611,0.000,2.200022,-162.281,-133.977347,7.993567,115.311220,66.667,67.0721,65.3112,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
4 Jan 2026 03:59:54.694,0.000,2.200001,-161.537,-133.233257,7.993484,116.055228,66.667,67.8161,66.0552,1.000000e-30
4 Jan 2026 04:00:36.978,0.000,2.199988,-161.764,-133.459637,7.993434,115.828797,66.667,67.5897,65.8288,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
4 Jan 2026 04:02:12.873,0.000,2.199967,-163.594,-135.289498,7.993351,113.998854,66.667,65.7598,63.9989,1.000000e-30
