"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
130,21 Jan 2026 03:22:45.598,21 Jan 2026 03:23:18.079,32.480
131,21 Jan 2026 03:23:27.248,21 Jan 2026 03:23:46.269,19.021
132,21 Jan 2026 03:23:56.032,21 Jan 2026 03:24:36.868,40.835
133,21 Jan 2026 04:55:23.819,21 Jan 2026 05:01:04.185,340.366
134,21 Jan 2026 06:30:26.308,21 Jan 2026 06:31:35.418,69.110
135,21 Jan 2026 16:23:47.097,21 Jan 2026 16:23:49.355,2.258
136,21 Jan 2026 16:23:59.671,21 Jan 2026 16:24:32.182,32.511
137,21 Jan 2026 16:24:41.360,21 Jan 2026 16:24:48.885,7.525
138,21 Jan 2026 17:54:25.385,21 Jan 2026 18:00:19.748,354.363
139,21 Jan 2026 19:31:03.797,21 Jan 2026 19:31:19.625,15.827
140,21 Jan 2026 19:32:40.575,21 Jan 2026 19:32:42.776,2.200
141,22 Jan 2026 04:36:43.881,22 Jan 2026 04:42:16.736,332.854
142,22 Jan 2026 06:10:20.392,22 Jan 2026 06:13:20.754,180.361
143,22 Jan 2026 06:14:44.658,22 Jan 2026 06:14:50.700,6.042
144,22 Jan 2026 17:35:44.829,22 Jan 2026 17:41:10.438,325.609
145,22 Jan 2026 19:10:48.484,22 Jan 2026 19:12:44.014,115.530
146,22 Jan 2026 19:13:50.528,22 Jan 2026 19:16:01.359,130.831
147,23 Jan 2026 04:16:42.338,23 Jan 2026 04:23:21.712,399.374
148,23 Jan 2026 05:51:38.722,23 Jan 2026 05:56:49.600,310.878
149,23 Jan 2026 17:17:20.876,23 Jan 2026 17:22:12.016,291.140
150,23 Jan 2026 18:51:27.358,23 Jan 2026 18:58:05.044,397.686
151,24 Jan 2026 03:57:19.961,24 Jan 2026 04:04:17.245,417.285
152,24 Jan 2026 05:32:58.035,24 Jan 2026 05:38:29.134,331.099
153,24 Jan 2026 16:59:09.389,24 Jan 2026 16:59:15.418,6.029
154,24 Jan 2026 16:59:28.375,24 Jan 2026 17:04:03.359,274.985
155,24 Jan 2026 18:32:22.115,24 Jan 2026 18:38:51.836,389.721
156,25 Jan 2026 03:39:36.184,25 Jan 2026 03:39:47.781,11.597
157,25 Jan 2026 03:40:25.856,25 Jan 2026 03:44:45.687,259.832
158,25 Jan 2026 05:14:17.664,25 Jan 2026 05:19:57.421,339.757
159,25 Jan 2026 16:40:48.153,25 Jan 2026 16:41:47.391,59.238
160,25 Jan 2026 16:41:53.238,25 Jan 2026 16:45:59.929,246.692
