                                                                              27 Jan 2024 12:56:21
Place-BahenGS-Sensor-Sensor2-To-Satellite-Finch:  Access Summary Report


Sensor2-To-Finch
----------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                     111     1 Feb 2026 04:34:53.875     1 Feb 2026 04:42:04.184           430.309
                     112     1 Feb 2026 06:11:13.296     1 Feb 2026 06:13:54.918           161.622
                     113     1 Feb 2026 17:36:50.012     1 Feb 2026 17:44:08.635           438.624
                     114     1 Feb 2026 19:12:38.440     1 Feb 2026 19:15:00.163           141.723
                     115     2 Feb 2026 04:16:36.519     2 Feb 2026 04:23:06.047           389.528
                     116     2 Feb 2026 05:50:59.545     2 Feb 2026 05:56:24.280           324.735
                     117     2 Feb 2026 17:18:20.560     2 Feb 2026 17:25:06.055           405.495
                     118     2 Feb 2026 18:52:46.075     2 Feb 2026 18:57:49.637           303.563
                     119     3 Feb 2026 03:58:38.879     3 Feb 2026 04:03:54.057           315.178
                     120     3 Feb 2026 05:31:32.857     3 Feb 2026 05:38:12.514           399.658
                     121     3 Feb 2026 17:00:06.381     3 Feb 2026 17:05:42.441           336.060
                     122     3 Feb 2026 18:33:31.913     3 Feb 2026 18:39:54.859           382.946
                     123     4 Feb 2026 03:41:19.198     4 Feb 2026 03:44:10.146           170.948
                     124     4 Feb 2026 05:12:28.200     4 Feb 2026 05:19:44.469           436.269
                     125     4 Feb 2026 16:42:26.949     4 Feb 2026 16:45:38.178           191.229
                     126     4 Feb 2026 18:14:32.474     4 Feb 2026 18:21:39.466           426.992
                     127     5 Feb 2026 04:53:40.061     5 Feb 2026 05:01:05.607           445.546
                     128     5 Feb 2026 17:55:43.185     5 Feb 2026 18:03:08.165           444.980
                     129     6 Feb 2026 04:35:06.858     6 Feb 2026 04:42:17.488           430.629
                     130     6 Feb 2026 06:11:28.308     6 Feb 2026 06:14:06.535           158.227
                     131     6 Feb 2026 17:37:03.108     6 Feb 2026 17:44:21.951           438.843
                     132     6 Feb 2026 19:12:53.163     6 Feb 2026 19:15:11.509           138.346
                     133     7 Feb 2026 04:16:49.305     7 Feb 2026 04:23:19.481           390.177
                     134     7 Feb 2026 05:51:13.429     7 Feb 2026 05:56:36.955           323.527
                     135     7 Feb 2026 17:18:33.516     7 Feb 2026 17:25:19.580           406.065
                     136     7 Feb 2026 18:52:59.762     7 Feb 2026 18:58:02.091           302.329
                     137     8 Feb 2026 03:58:51.381     8 Feb 2026 04:04:07.703           316.322
                     138     8 Feb 2026 05:31:46.413     8 Feb 2026 05:38:25.448           399.035
                     139     8 Feb 2026 17:00:19.102     8 Feb 2026 17:05:56.271           337.169
                     140     8 Feb 2026 18:33:45.367     8 Feb 2026 18:40:07.616           382.249
                     141     9 Feb 2026 03:41:30.898     9 Feb 2026 03:44:24.524           173.625
                     142     9 Feb 2026 05:12:41.542     9 Feb 2026 05:19:57.550           436.009
                     143     9 Feb 2026 16:42:38.900     9 Feb 2026 16:45:52.848           193.948
                     144     9 Feb 2026 18:14:45.793     9 Feb 2026 18:21:52.428           426.635
                     145    10 Feb 2026 04:53:53.223    10 Feb 2026 05:01:18.802           445.579
                     146    10 Feb 2026 17:55:56.395    10 Feb 2026 18:03:21.303           444.908
                     147    11 Feb 2026 04:35:19.846    11 Feb 2026 04:42:30.792           430.946
                     148    11 Feb 2026 06:11:43.363    11 Feb 2026 06:14:18.106           154.742
                     149    11 Feb 2026 17:37:16.207    11 Feb 2026 17:44:35.270           439.063
                     150    11 Feb 2026 19:13:07.928    11 Feb 2026 19:15:22.812           134.884
                     151    12 Feb 2026 04:17:02.094    12 Feb 2026 04:23:32.916           390.822
                     152    12 Feb 2026 05:51:27.319    12 Feb 2026 05:56:49.626           322.307
                     153    12 Feb 2026 17:18:46.475    12 Feb 2026 17:25:33.105           406.630
                     154    12 Feb 2026 18:53:13.454    12 Feb 2026 18:58:14.541           301.087
                     155    13 Feb 2026 03:59:03.891    13 Feb 2026 04:04:21.347           317.457
                     156    13 Feb 2026 05:31:59.974    13 Feb 2026 05:38:38.380           398.406
                     157    13 Feb 2026 17:00:31.827    13 Feb 2026 17:06:10.098           338.270
                     158    13 Feb 2026 18:33:58.825    13 Feb 2026 18:40:20.372           381.547
                     159    14 Feb 2026 03:41:42.625    14 Feb 2026 03:44:38.878           176.253
                     160    14 Feb 2026 05:12:54.887    14 Feb 2026 05:20:10.632           435.745
                     161    14 Feb 2026 16:42:50.874    14 Feb 2026 16:46:07.496           196.623
                     162    14 Feb 2026 18:14:59.115    14 Feb 2026 18:22:05.388           426.273
                     163    15 Feb 2026 04:54:06.388    15 Feb 2026 05:01:31.997           445.609
                     164    15 Feb 2026 17:56:09.607    15 Feb 2026 18:03:34.440           444.833
                     165    16 Feb 2026 04:35:32.835    16 Feb 2026 04:42:44.094           431.259
                     166    16 Feb 2026 06:11:58.468    16 Feb 2026 06:14:29.637           151.169
                     167    16 Feb 2026 17:37:29.307    16 Feb 2026 17:44:48.585           439.278
                     168    16 Feb 2026 19:13:22.750    16 Feb 2026 19:15:34.059           131.309
                     169    17 Feb 2026 04:17:14.886    17 Feb 2026 04:23:46.347           391.461
                     170    17 Feb 2026 05:51:41.214    17 Feb 2026 05:57:02.292           321.078
                     171    17 Feb 2026 17:18:59.434    17 Feb 2026 17:25:46.626           407.191
                     172    17 Feb 2026 18:53:27.151    17 Feb 2026 18:58:26.985           299.835
                     173    18 Feb 2026 03:59:16.405    18 Feb 2026 04:04:34.987           318.582
                     174    18 Feb 2026 05:32:13.537    18 Feb 2026 05:38:51.310           397.773
                     175    18 Feb 2026 17:00:44.555    18 Feb 2026 17:06:23.919           339.363
                     176    18 Feb 2026 18:34:12.283    18 Feb 2026 18:40:33.123           380.840
                     177    19 Feb 2026 03:41:54.375    19 Feb 2026 03:44:53.208           178.833
                     178    19 Feb 2026 05:13:08.233    19 Feb 2026 05:20:23.710           435.477
